"","date","discharge"
"894",2017-01-26,16.20612
"895",2017-01-27,12.99888
"896",2017-01-28,10.45008
"897",2017-01-29,8.89956
"898",2017-01-30,8.26236
"899",2017-01-31,11.10852
"900",2018-01-01,5.46576
"901",2018-01-02,5.49408
"902",2018-01-03,5.57904
"903",2018-01-04,5.60736
"904",2018-01-05,5.5224
"905",2018-01-06,5.55072
"906",2018-01-07,5.49408
"907",2018-01-08,5.40912
"908",2018-01-09,5.46576
"909",2018-01-10,6.00384
"910",2018-01-11,5.86224
"911",2018-01-12,4.82148
"912",2018-01-13,5.89056
"913",2018-01-14,5.74896
"914",2018-01-15,5.664
"915",2018-01-16,5.60736
"916",2018-01-17,5.49408
"917",2018-01-18,5.40912
"918",2018-01-19,5.40912
"919",2018-01-20,5.3808
"920",2018-01-21,5.43744
"921",2018-01-22,5.49408
"922",2018-01-23,5.49408
"923",2018-01-24,5.43744
"924",2018-01-25,5.3808
"925",2018-01-26,5.35248
"926",2018-01-27,5.32416
"927",2018-01-28,5.32416
"928",2018-01-29,5.32416
"929",2018-01-30,5.26752
"930",2018-01-31,4.92768
"931",1989-02-01,5.83392
"932",1989-02-02,5.664
"933",1989-02-03,5.55072
